[datetime.datetime(2019, 11, 11, 3, 30, 1, 939625), {'all': {'len': 19, 'sum': 317.475}, 'pa': {'len': 18, 'sum': 317.372}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 35, 2, 137513), {'all': {'len': 17, 'sum': 305.981}, 'pa': {'len': 17, 'sum': 305.981}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 40, 1, 993891), {'all': {'len': 17, 'sum': 326.91700000000003}, 'pa': {'len': 17, 'sum': 326.91700000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 45, 2, 157366), {'all': {'len': 16, 'sum': 301.186}, 'pa': {'len': 16, 'sum': 301.186}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 50, 2, 166217), {'all': {'len': 18, 'sum': 293.10699999999997}, 'pa': {'len': 18, 'sum': 293.10699999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 55, 1, 968987), {'all': {'len': 17, 'sum': 317.83799999999997}, 'pa': {'len': 17, 'sum': 317.83799999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 0, 2, 83880), {'all': {'len': 17, 'sum': 316.73199999999997}, 'pa': {'len': 17, 'sum': 316.73199999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 5, 2, 55034), {'all': {'len': 15, 'sum': 261.622}, 'pa': {'len': 15, 'sum': 261.622}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 10, 2, 671985), {'all': {'len': 16, 'sum': 317.244}, 'pa': {'len': 16, 'sum': 317.244}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 15, 2, 54732), {'all': {'len': 17, 'sum': 323.55500000000006}, 'pa': {'len': 17, 'sum': 323.55500000000006}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 20, 2, 213552), {'all': {'len': 16, 'sum': 242.483}, 'pa': {'len': 10, 'sum': 172.752}, 'tbs': {'len': 6, 'sum': 69.731}}]
[datetime.datetime(2019, 11, 11, 4, 25, 2, 60737), {'all': {'len': 16, 'sum': 244.36599999999993}, 'pa': {'len': 13, 'sum': 185.219}, 'tbs': {'len': 3, 'sum': 59.147}}]
[datetime.datetime(2019, 11, 11, 4, 30, 1, 828933), {'all': {'len': 18, 'sum': 311.5999999999999}, 'pa': {'len': 18, 'sum': 311.5999999999999}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 35, 1, 721634), {'all': {'len': 18, 'sum': 310.248}, 'pa': {'len': 18, 'sum': 310.248}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 40, 2, 131903), {'all': {'len': 17, 'sum': 324.416}, 'pa': {'len': 17, 'sum': 324.416}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 45, 2, 257681), {'all': {'len': 16, 'sum': 290.799}, 'pa': {'len': 16, 'sum': 290.799}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 50, 2, 92779), {'all': {'len': 17, 'sum': 285.13599999999997}, 'pa': {'len': 17, 'sum': 285.13599999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 4, 55, 2, 341959), {'all': {'len': 17, 'sum': 312.221}, 'pa': {'len': 17, 'sum': 312.221}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 0, 2, 531195), {'all': {'len': 17, 'sum': 327.04200000000003}, 'pa': {'len': 17, 'sum': 327.04200000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 5, 2, 254573), {'all': {'len': 16, 'sum': 296.441}, 'pa': {'len': 16, 'sum': 296.441}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 10, 2, 409236), {'all': {'len': 16, 'sum': 301.33200000000005}, 'pa': {'len': 16, 'sum': 301.33200000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 15, 2, 391806), {'all': {'len': 18, 'sum': 291.865}, 'pa': {'len': 18, 'sum': 291.865}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 20, 1, 743956), {'all': {'len': 18, 'sum': 347.96299999999997}, 'pa': {'len': 18, 'sum': 347.96299999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 5, 25, 2, 44783), {'all': {'len': 15, 'sum': 271.671}, 'pa': {'len': 15, 'sum': 271.671}, 'tbs': {'len': 0, 'sum': 0}}]
