[datetime.datetime(2019, 11, 9, 5, 35, 2, 102949), {'all': {'len': 17, 'sum': 283.371}, 'pa': {'len': 17, 'sum': 283.371}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 5, 40, 1, 991406), {'all': {'len': 17, 'sum': 293.217}, 'pa': {'len': 15, 'sum': 271.46}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 5, 45, 2, 45066), {'all': {'len': 18, 'sum': 327.91599999999994}, 'pa': {'len': 18, 'sum': 327.91599999999994}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 5, 50, 1, 742124), {'all': {'len': 17, 'sum': 316.50100000000003}, 'pa': {'len': 17, 'sum': 316.50100000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 5, 55, 2, 53599), {'all': {'len': 15, 'sum': 231.28300000000002}, 'pa': {'len': 15, 'sum': 231.28300000000002}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 0, 2, 716761), {'all': {'len': 16, 'sum': 292.628}, 'pa': {'len': 16, 'sum': 292.628}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 5, 1, 737945), {'all': {'len': 17, 'sum': 257.973}, 'pa': {'len': 17, 'sum': 257.973}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 10, 2, 627883), {'all': {'len': 17, 'sum': 338.38800000000003}, 'pa': {'len': 17, 'sum': 338.38800000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 15, 2, 454479), {'all': {'len': 16, 'sum': 299.192}, 'pa': {'len': 16, 'sum': 299.192}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 6, 20, 2, 597189), {'all': {'len': 17, 'sum': 271.808}, 'pa': {'len': 17, 'sum': 271.808}, 'tbs': {'len': 0, 'sum': 0}}]
